user_nickname,region,city,user_score
永远的靠山,四川,成都,2
诚实的人,London,0,0
IrisNetShakerFounder,0,0,1
海伦Helen,0,0,1
在变胖,0,0,1
小安子,0,0,1
Downey,北京,朝阳,2
周教练,0,0,1
巫教练,0,0,0
YiF,Ontario,Toronto,2
Jim,Toronto,0,1
塬,陕西,西安,1
銘銘,北京,海淀,1
爻,Toronto,0,1
每周往返4163576965,0,0,0
JamesPeng‰⭕,Ontario,Mississauga,2
静水流深,北京,西城,1
sub0206ass0409dip0413app0420,Ontario,Hamilton,2
🍄Teemo有毒🍄,0,0,1
NgkStudio,0,0,1
静静康,0,0,1
X🐋,四川,成都,2
Terry张及团队温莎地产国粤语服务,Windsor,0,0
anna～🇨🇦,0,0,1
Jin,山西,太原,1
Andy多倫多在綫旅遊9056048843,Ontario,Toronto,0
仲夏,0,0,1
Allen,Ontario,Windsor,1
Lily旅游达人,0,0,0
jliu,Ontario,Markham,1
房东网信息,0,0,0
Cynthia,广东,广州,1
SEANWANG,Toronto,0,1
🏎꯭G꯭A꯭G꯭C꯭💨,0,0,1
Wilson,0,0,1
ElanieYingchun,0,0,1
加拿大探亲父母俱乐部2号,0,0,1
周末温莎多伦多往返,Ontario,Toronto,0
Amy的珠宝盒,0,0,1
易昔,0,0,1
app406,上海,静安,2
JudyITRecruiter,0,0,1
211Sub322assessed,0,0,1
assessment321,Toronto,0,1
Aaron晖,陕西,西安,2
淡白色晨雨,0,0,1
Richard加拿大科技学院6479063396,0,0,0
Sub201Ass409Dip410App411,辽宁,大连,2
shumindu,0,0,1
AnnabelAssessment323,0,0,1
莎莎,Toronto,0,0
🐟×子非鱼Cecilia×🐟,广东,深圳,2
虎头虎脑的郭小虎,0,0,1
DreamRider,0,0,0
终于18岁的小Jill,辽宁,沈阳,2
村长,Toronto,0,1
李梓溦Vivien,北京,海淀,2
👾,河北,石家庄,2
YanKee,Toronto,0,1
Yu,0,0,1
Maggie车房保险,Ontario,Toronto,0
Jenny,Toronto,0,1
小妖,0,0,1
给我一双慧眼,Toronto,0,1
DBC商学院班主任Max已满,0,0,0
Judy,0,0,1
君不见,安徽,蚌埠,2
榴莲哥,广东,深圳,1
前端sitm,河北,衡水,2
SarahGong,Ontario,Toronto,2
温莎无忧Carpool,Ontario,Windsor,0
温莎多伦多接送服务,Ontario,Windsor,0
Tonyhan℡⁴¹6⁹⁹⁹³6³6,Ontario,Windsor,2
陈杭梅HangmeiChen,Ontario,Markham,1
Manni,0,0,0
董环恺,福建,厦门,2
🐨,0,0,1
MrMr,江苏,南京,2
June🍁,Toronto,0,1
古笑颜,广东,深圳,2
crescent,上海,0,1
Hera🍒,广东,广州,2
哆啦A白😏,北京,海淀,2
billbiubiu,广东,广州,1
Frankie,Ontario,Windsor,2
Roger,Ontario,Windsor,2
相由心生境由心转BondNie,Ontario,Toronto,2
古筝娃娃,Toronto,0,1
✨LiQun,Ontario,Toronto,2
小鹰,0,0,1
JeffWang贷款经纪,Ontario,Mississauga,0
Shirley🇨🇳🇨🇦代购,0,0,0
Sub0206Ass0314Apr0420,0,0,1
Mike,0,0,1
Alan,Toronto,0,1
Sub202Ass228Dip323Apr327,Ontario,Toronto,2
JenniferCIBC贷款经理,Ontario,Toronto,0
Lisa旅游保险,Ontario,Toronto,0
淑嫱🐼,Toronto,0,1
Shirley,广东,珠海,2
桑榆未晚,0,0,1
DanielXZhao,Ontario,Markham,2
筱默,北京,朝阳,2
房东群村助,0,0,1
Sub206Dip404,黑龙江,哈尔滨,1
全球旅游行程发布网1,0,0,0
frankfoakville,0,0,1
LunchBreak,0,0,1
MasonChen,Toronto,0,1
Yan,0,0,1
房东群物业管理4165808681,0,0,0
Aaron,Ontario,Toronto,2
DoubleF,天津,北辰,2
Marvin,0,0,1
每周往返4163576965,0,0,0
Jacky,Paris,0,1
sub205ass312dip404apr416,山西,太原,1
Alvin裕,云南,大理,2
挂支,江苏,南京,2
Banana,Ontario,Windsor,1
ass319dip420,天津,河西,2
Sub211assess321dip425,Toronto,0,1
彭天阳,Canberra,0,1
😃Raymond😄祝你四月光宗耀祖,0,0,1
帆,北京,海淀,2
黄雪王是巫妖银,上海,宝山,2
MikeDeng,0,0,1
Steve,0,0,1
A奔驰加拿大总部直营店🚗ALLEN,Ontario,Toronto,0
大雅,Ontario,Toronto,2
房東網廣告商務,0,0,0
Angela游轮度假,British Columbia,Coquitlam,0
歌神五五开,Ontario,Windsor,2
wawa✨,广东,广州,2
加拿大搜索网wwwcanadasocom,Vancouver,0,0
sub409,London,0,1
cici,0,0,1
囍辣售货员,辽宁,大连,2
雯,0,0,1
🍃小N家韩式定妆ampWNHC诊所,0,0,0
俞骅,0,0,1
开开知道群主宝宝,0,0,1
LeileiRelease2ITRecruiter,Toronto,0,1
筱沐yoki🙃,Ontario,Toronto,2
HiVera🍄,0,0,1
Xsn,福建,福州,2
meochan,黑龙江,哈尔滨,2
🍒优格🍓,吴亦凡心里❤️,0,1
啊啊啊啊啊啊啊啊啊泽,England,London,2
Jacky,Ontario,Windsor,2
YupingPeng养眼,0,0,1
Bari,浙江,金华,2
娜娜酱,Toronto,0,1
墨色羽毛Emily,0,0,1
Kathy🍉wwwleelawcom,Ontario,Toronto,0
哦•,Toronto,0,1
开开知道💗剧本杀,0,0,1
Jsoap,Toronto,0,0
Sarah02,0,0,1
阿飞哥,Ontario,Toronto,2
冰块👩,0,0,0
雨溪,0,0,1
Bobby,Calgary,0,1
阿达🤨,Ontario,Toronto,2
三宝妈阿胶糕代理,Toronto,0,0
养眼,0,0,1
ying,江苏,徐州,1
A🐝poppy🐝,0,0,1
Phyllis💃ZumbaInstructor,Ontario,Markham,2
隐姓埋名的梅先生,Toronto,0,1
老板一份鱼丸粗面,Ontario,Toronto,1
尹小哈Husky,Toronto,0,1
秋秋🌟三宝妈,Ontario,Toronto,2
Emma,Ontario,Toronto,2
amandaliu,0,0,1
00xx,上海,静安,2
BEYOND,山东,烟台,2
wawadebug,Ontario,Toronto,2
SUNNY,0,0,1
✨肉💜妹✨,Others,South Georgia and South Sandwich Islands,2
Kane,河北,0,1
Marshall💯,Ontario,Toronto,2
nightingale,0,0,1
Maggie,0,0,1
何英,Ontario,Toronto,1
🎀YUE💗,辽宁,葫芦岛,1
X,Nova Scotia,Wolfville,2
Yana,山东,青岛,2
420收信,Ontario,Ottawa,2
98xx,Ontario,Ottawa,2
🍁🌹Helen🌹🍁,0,0,1
hui,0,0,1
张惠渊,北京,海淀,2
喵星人￣￣ゞ,Ontario,Toronto,2
97＊＊,山西,太原,1
96××Steven,北京,海淀,2
97,0,0,1
皮卡卡普,Ontario,Windsor,0
211Sub322Ass425Dip,0,0,1
魚＇🌈,Ontario,Markham,2
Joeky,广东,广州,0
Nicole🍑,0,0,1
周哥商务车接送5199926238,广东,广州,0
雪鸥,Toronto,0,1
1,吉林,长春,2
99××,湖北,宜昌,2
Gloria,0,0,1
Benanna,0,0,1
颤抖的土拨鼠,0,0,1
霍东辉,安徽,0,1
皓白白白白白☁,Ontario,Toronto,1
Sub23Apr416,0,0,0
如意,Toronto,0,1
Mary,0,0,1
娟子华,0,0,1
lilin,Washington,Seattle City,1
tlc,Ontario,Toronto,1
Eleven,Alaska,Fairbanks North Star Borough,1
shwa,Ontario,Toronto,1
Yuhua,California,Berkeley City,1
Niki,Quebec,Alma,1
前端大叔,上海,徐汇,2
俊哥,河北,张家口,1
风,0,0,1
JackYang,Toronto,0,1
WenXiuXuan,Toronto,0,1
多伦多全职人脉银行,0,0,0
At,Geneve,0,1
💐Carmen🎉,0,0,1
快乐房子,河北,衡水,1
梁勇,0,0,1
劳神,0,0,0
女司机发广告挣油钱,Ontario,Toronto,2
楚·王🐾,0,0,1
IvyHe,广东,江门,2
Tom宓文涛Besmart,Ontario,Markham,1
